Source,Target,Value,,,,,,,,,,,,,,,,,,,
Treemaps,Line Charts,1,,,,,,,,,,,,,,,,,,,
Treemaps,Bar Charts,0,,,,,,,,,,,,,,,,,,,
Treemaps,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Treemaps,Scatter Plots,1,,,,,,,,,,,,,,,,,,,
Treemaps,Histograms,1,,,,,,,,,,,,,,,,,,,
Treemaps,Box Plots,0,,,,,,,,,,,,,,,,,,,
Treemaps,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Treemaps,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Treemaps,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Treemaps,Choropleth Maps,1,,,,,,,,,,,,,,,,,,,
Treemaps,Density Maps,0,,,,,,,,,,,,,,,,,,,
Treemaps,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Treemaps,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Treemaps,Network Diagrams,0,,,,,,,,,,,,,,,,,,,
Treemaps,Sociograms,0,,,,,,,,,,,,,,,,,,,
Treemaps,Integrated Platforms,1,,,,,,,,,,,,,,,,,,,
Treemaps,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Treemaps,Treemaps,5,,,,,,,,,,,,,,,,,,,
Treemaps,Tables,4,,,,,,,,,,,,,,,,,,,
Treemaps,Figures (explanatory diagrams),1,,,,,,,,,,,,,,,,,,,
Treemaps,Flowcharts,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Tables,Line Charts,18,,,,,,,,,,,,,,,,,,,
Tables,Bar Charts,23,,,,,,,,,,,,,,,,,,,
Tables,Pie Charts,7,,,,,,,,,,,,,,,,,,,
Tables,Scatter Plots,11,,,,,,,,,,,,,,,,,,,
Tables,Histograms,1,,,,,,,,,,,,,,,,,,,
Tables,Box Plots,6,,,,,,,,,,,,,,,,,,,
Tables,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Tables,Stacked Bar Charts,1,,,,,,,,,,,,,,,,,,,
Tables,Heatmaps,4,,,,,,,,,,,,,,,,,,,
Tables,Choropleth Maps,23,,,,,,,,,,,,,,,,,,,
Tables,Density Maps,4,,,,,,,,,,,,,,,,,,,
Tables,Land Cover Maps,2,,,,,,,,,,,,,,,,,,,
Tables,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Tables,Network Diagrams,3,,,,,,,,,,,,,,,,,,,
Tables,Sociograms,1,,,,,,,,,,,,,,,,,,,
Tables,Integrated Platforms,28,,,,,,,,,,,,,,,,,,,
Tables,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Tables,Treemaps,4,,,,,,,,,,,,,,,,,,,
Tables,Tables,97,,,,,,,,,,,,,,,,,,,
Tables,Figures (explanatory diagrams),20,,,,,,,,,,,,,,,,,,,
Tables,Flowcharts,38,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Line Charts,4,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Bar Charts,7,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Pie Charts,3,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Scatter Plots,2,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Histograms,0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Box Plots,2,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Heatmaps,0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Choropleth Maps,9,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Density Maps,1,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Land Cover Maps,1,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Sociograms,0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Integrated Platforms,8,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Treemaps,1,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Tables,20,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Figures (explanatory diagrams),36,,,,,,,,,,,,,,,,,,,
Figures (explanatory diagrams),Flowcharts,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Flowcharts,Line Charts,7,,,,,,,,,,,,,,,,,,,
Flowcharts,Bar Charts,7,,,,,,,,,,,,,,,,,,,
Flowcharts,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Flowcharts,Scatter Plots,1,,,,,,,,,,,,,,,,,,,
Flowcharts,Histograms,2,,,,,,,,,,,,,,,,,,,
Flowcharts,Box Plots,4,,,,,,,,,,,,,,,,,,,
Flowcharts,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Flowcharts,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Flowcharts,Heatmaps,2,,,,,,,,,,,,,,,,,,,
Flowcharts,Choropleth Maps,12,,,,,,,,,,,,,,,,,,,
Flowcharts,Density Maps,2,,,,,,,,,,,,,,,,,,,
Flowcharts,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Flowcharts,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Flowcharts,Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Flowcharts,Sociograms,0,,,,,,,,,,,,,,,,,,,
Flowcharts,Integrated Platforms,17,,,,,,,,,,,,,,,,,,,
Flowcharts,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Flowcharts,Treemaps,2,,,,,,,,,,,,,,,,,,,
Flowcharts,Tables,38,,,,,,,,,,,,,,,,,,,
Flowcharts,Figures (explanatory diagrams),11,,,,,,,,,,,,,,,,,,,
Flowcharts,Flowcharts,57,,,,,,,,,,,,,,,,,,,
