Source,Target,Value,,,,,,,,,,,,,,,,,,,
Histograms,Bar Charts,1,,,,,,,,,,,,,,,,,,,
Histograms,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Histograms,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Histograms,Histograms,4,,,,,,,,,,,,,,,,,,,
Histograms,Box Plots,1,,,,,,,,,,,,,,,,,,,
Histograms,Bubble Plots,1,,,,,,,,,,,,,,,,,,,
Histograms,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Histograms,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Histograms,Choropleth Maps,1,,,,,,,,,,,,,,,,,,,
Histograms,Density Maps,0,,,,,,,,,,,,,,,,,,,
Histograms,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Histograms,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Histograms,Network Diagrams,2,,,,,,,,,,,,,,,,,,,
Histograms,Sociograms,0,,,,,,,,,,,,,,,,,,,
Histograms,Integrated Platforms,2,,,,,,,,,,,,,,,,,,,
Histograms,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Histograms,Treemaps,1,,,,,,,,,,,,,,,,,,,
Histograms,Tables,1,,,,,,,,,,,,,,,,,,,
Histograms,Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Histograms,Flowcharts,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Box Plots,Line Charts,6,,,,,,,,,,,,,,,,,,,
Box Plots,Bar Charts,2,,,,,,,,,,,,,,,,,,,
Box Plots,Pie Charts,1,,,,,,,,,,,,,,,,,,,
Box Plots,Scatter Plots,1,,,,,,,,,,,,,,,,,,,
Box Plots,Histograms,1,,,,,,,,,,,,,,,,,,,
Box Plots,Box Plots,9,,,,,,,,,,,,,,,,,,,
Box Plots,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Box Plots,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Box Plots,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Box Plots,Choropleth Maps,4,,,,,,,,,,,,,,,,,,,
Box Plots,Density Maps,2,,,,,,,,,,,,,,,,,,,
Box Plots,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Box Plots,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Box Plots,Network Diagrams,0,,,,,,,,,,,,,,,,,,,
Box Plots,Sociograms,0,,,,,,,,,,,,,,,,,,,
Box Plots,Integrated Platforms,0,,,,,,,,,,,,,,,,,,,
Box Plots,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Box Plots,Treemaps,0,,,,,,,,,,,,,,,,,,,
Box Plots,Tables,6,,,,,,,,,,,,,,,,,,,
Box Plots,Figures (explanatory diagrams),2,,,,,,,,,,,,,,,,,,,
Box Plots,Flowcharts,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Bubble Plots,Line Charts,1,,,,,,,,,,,,,,,,,,,
Bubble Plots,Bar Charts,1,,,,,,,,,,,,,,,,,,,
Bubble Plots,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Histograms,1,,,,,,,,,,,,,,,,,,,
Bubble Plots,Box Plots,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Bubble Plots,1,,,,,,,,,,,,,,,,,,,
Bubble Plots,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Choropleth Maps,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Density Maps,0,,,,,,,,,,,,,,,,,,,
