Code,Number of Papers
map,127
line,125
bar,85
network,28
dashboard,26
scatter,25
heatmap,23
area,17
pie,15
boxplot,15
table,14
wordcloud,10
bubble,6
forest,6
image,5
violin,5
3d,4
histogram,3
dot,3
treemap,2
animation,2
